week,feed_standard,production_standard
18,0.078,0
19,0.084,3
20,0.089,15
21,0.093,44.5
22,0.097,67.6
23,0.1,82.4
24,0.102,91.1
25,0.104,94.8
26,0.105,95.6
27,0.106,96.1
28,0.107,96.4
29,0.108,96.6
30,0.109,96.7
31,0.11,96.8
32,0.11,97
33,0.11,96.9
34,0.11,96.8
35,0.11,96.7
36,0.11,96.6
37,0.11,96.5
38,0.11,96.4
39,0.11,96.2
40,0.11,96.1
41,0.11,95.9
42,0.11,95.8
43,0.11,95.6
44,0.11,95.4
45,0.11,95.3
46,0.11,95.1
47,0.11,94.9
48,0.11,94.6
49,0.11,94.4
50,0.11,94.2
51,0.11,93.9
52,0.11,93.7
53,0.11,93.4
54,0.11,93.2
55,0.11,92.9
56,0.11,92.7
57,0.11,92.4
58,0.11,92.1
59,0.11,91.8
60,0.11,91.5
61,0.11,91.2
62,0.11,90.9
63,0.11,90.6
64,0.11,90.3
65,0.11,90
66,0.11,89.6
67,0.11,89.3
68,0.11,89
69,0.11,88.6
70,0.11,88.3
71,0.11,87.9
72,0.11,87.5
73,0.11,87.2
74,0.11,86.8
75,0.11,86.3
76,0.11,85.9
77,0.11,85.6
78,0.11,85.2
79,0.11,84.8
80,0.11,84.4
81,0.11,84
82,0.11,83.6
83,0.11,83.2
84,0.11,82.9
85,0.11,82.5
86,0.11,82.1
87,0.11,81.7
88,0.11,81.3
89,0.11,80.9
90,0.11,80.6
91,0.11,80.2
92,0.11,79.8
93,0.11,79.4
94,0.11,79.1
95,0.11,78.7
96,0.11,78.3
97,0.11,78
98,0.11,77.7
99,0.11,77.3
100,0.11,77
